name,city,abbreviation,
Panthers,Florida,FLA,
Avalanche,Colorado,COL,
Hurricanes,Carolina,CAR,
MapleLeafs,Toronto,TOR,
Wild,Minnesota,MIN,
Flames,Calgary,CGY,
Lightning,TampaBay,TBL,
Rangers,NewYork,NYR,
Blues,StLouis,STL,
Bruins,Boston,BOS,
Oilers,Edmonton,EDM,
Penguins,Pittsburgh,PIT,
Capitals,Washington,WSH,
Kings,LosAngeles,LAK,
Stars,Dallas,DAL,
Predators,Nashville,NSH,
GoldenKnights,Vegas,VGK,
Canucks,Vancouver,VAN,
Jets,Winnipeg,WPG,
Islanders,NewYork,NYI,
BlueJackets,Columbus,CBJ,
Sharks,SanJose,SJS,
Ducks,Anaheim,ANA,
Sabres,Buffalo,BUF,
RedWings,Detroit,DET,
Senators,Ottawa,OTT,
Blackhawks,Chicago,CHI,
Devils,NewJersey,NJD,
Flyers,Philadelphia,PHI,
Kraken,Seattle,SEA,
Coyotes,Arizona,ARI,
Canadiens,Montreal,MTL,
